"site","year","SST"
"CHSWRR","2008-01-01",0.54010009765625
"CHSWRG","2008-01-01",0.54010009765625
"PSSB","2008-01-01",0.88031005859375
"PSFB","2008-01-01",0.88031005859375
"SYSE","2008-01-01",0.8367919921875
"SYSW","2008-01-01",0.8367919921875
"SYLM","2008-01-01",0.8367919921875
"JBAB","2008-01-01",1.1939697265625
"NRBW","2008-01-01",1.32861328125
"MEBB","2008-01-01",1.32861328125
"MEKB","2008-01-01",1.32861328125
"MEPA","2008-01-01",1.32861328125
"SWAIN","2008-01-01",0.106201171875
"OTIS","2008-02-01",-0.1788330078125
"CHSWRR","2008-02-01",-1.30404663085938
"CHSWRG","2008-02-01",-1.30404663085938
"PSSB","2008-02-01",-1.35031127929688
"PSFB","2008-02-01",-1.35031127929688
"SYSE","2008-02-01",-1.62850952148438
"SYSW","2008-02-01",-1.62850952148438
"SYLM","2008-02-01",-1.62850952148438
"JBAB","2008-02-01",-1.11471557617188
"NRBW","2008-02-01",-1.29861450195312
"MEBB","2008-02-01",-1.29861450195312
"MEKB","2008-02-01",-1.29861450195312
"MEPA","2008-02-01",-1.29861450195312
"SWAIN","2008-02-01",-0.5963134765625
"OTIS","2008-03-01",-1.3931884765625
"CHSWRR","2008-03-01",-2.57888793945312
"CHSWRG","2008-03-01",-2.57888793945312
"PSSB","2008-03-01",-2.5447998046875
"PSFB","2008-03-01",-2.5447998046875
"SYSE","2008-03-01",-2.87802124023438
"SYSW","2008-03-01",-2.87802124023438
"SYLM","2008-03-01",-2.87802124023438
"JBAB","2008-03-01",-2.38494873046875
"NRBW","2008-03-01",-2.58145141601562
"MEBB","2008-03-01",-2.58145141601562
"MEKB","2008-03-01",-2.58145141601562
"MEPA","2008-03-01",-2.58145141601562
"SWAIN","2008-03-01",-1.98745727539062
"OTIS","2008-04-01",-2.503662109375
"CHSWRR","2008-04-01",-3.66226196289062
"CHSWRG","2008-04-01",-3.66226196289062
"PSSB","2008-04-01",-3.65377807617188
"PSFB","2008-04-01",-3.65377807617188
"SYSE","2008-04-01",-3.82464599609375
"SYSW","2008-04-01",-3.82464599609375
"SYLM","2008-04-01",-3.82464599609375
"JBAB","2008-04-01",-3.50466918945312
"NRBW","2008-04-01",-3.66162109375
"MEBB","2008-04-01",-3.66162109375
"MEKB","2008-04-01",-3.66162109375
"MEPA","2008-04-01",-3.66162109375
"SWAIN","2008-04-01",-3.12042236328125
"OTIS","2008-05-01",-3.05532836914062
"CHSWRR","2008-05-01",-4.28933715820312
"CHSWRG","2008-05-01",-4.28933715820312
"PSSB","2008-05-01",-4.193359375
"PSFB","2008-05-01",-4.193359375
"SYSE","2008-05-01",-4.28961181640625
"SYSW","2008-05-01",-4.28961181640625
"SYLM","2008-05-01",-4.28961181640625
"JBAB","2008-05-01",-4.0750732421875
"NRBW","2008-05-01",-4.3392333984375
"MEBB","2008-05-01",-4.3392333984375
"MEKB","2008-05-01",-4.3392333984375
"MEPA","2008-05-01",-4.3392333984375
"SWAIN","2008-05-01",-3.66107177734375
"OTIS","2008-06-01",-3.227783203125
"CHSWRR","2008-06-01",-4.14523315429688
"CHSWRG","2008-06-01",-4.14523315429688
"PSSB","2008-06-01",-3.9635009765625
"PSFB","2008-06-01",-3.9635009765625
"SYSE","2008-06-01",-4.09524536132812
"SYSW","2008-06-01",-4.09524536132812
"SYLM","2008-06-01",-4.09524536132812
"JBAB","2008-06-01",-3.9638671875
"NRBW","2008-06-01",-4.37387084960938
"MEBB","2008-06-01",-4.37387084960938
"MEKB","2008-06-01",-4.37387084960938
"MEPA","2008-06-01",-4.37387084960938
"SWAIN","2008-06-01",-3.78485107421875
"OTIS","2008-07-01",-2.87478637695312
"CHSWRR","2008-07-01",-3.2584228515625
"CHSWRG","2008-07-01",-3.2584228515625
"PSSB","2008-07-01",-3.26535034179688
"PSFB","2008-07-01",-3.26535034179688
"SYSE","2008-07-01",-3.50244140625
"SYSW","2008-07-01",-3.50244140625
"SYLM","2008-07-01",-3.50244140625
"JBAB","2008-07-01",-3.55984497070312
"NRBW","2008-07-01",-3.96957397460938
"MEBB","2008-07-01",-3.96957397460938
"MEKB","2008-07-01",-3.96957397460938
"MEPA","2008-07-01",-3.96957397460938
"SWAIN","2008-07-01",-3.15625
"OTIS","2008-08-01",-2.01400756835938
"CHSWRR","2008-08-01",-1.89089965820312
"CHSWRG","2008-08-01",-1.89089965820312
"PSSB","2008-08-01",-1.89663696289062
"PSFB","2008-08-01",-1.89663696289062
"SYSE","2008-08-01",-2.23422241210938
