"site","time","SST"
"NRBW","2008-01-01",-0.586761474609375
"MEBB","2008-01-01",-0.586761474609375
"MEKB","2008-01-01",-0.586761474609375
"MEPA","2008-01-01",-0.586761474609375
"SWAIN","2008-01-01",-0.320404052734375
"OTIS","2008-02-01",-0.507110595703125
"CHSWRR","2008-02-01",-1.78848266601562
"CHSWRG","2008-02-01",-1.78848266601562
"PSSB","2008-02-01",-1.96878051757812
"PSFB","2008-02-01",-1.96878051757812
"SYSE","2008-02-01",-2.10409545898438
"SYSW","2008-02-01",-2.10409545898438
"SYLM","2008-02-01",-2.10409545898438
"JBAB","2008-02-01",-2.03823852539062
"NRBW","2008-02-01",-2.13885498046875
"MEBB","2008-02-01",-2.13885498046875
"MEKB","2008-02-01",-2.13885498046875
"MEPA","2008-02-01",-2.13885498046875
"SWAIN","2008-02-01",-1.04266357421875
"OTIS","2008-03-01",-1.4620361328125
"CHSWRR","2008-03-01",-3.15084838867188
"CHSWRG","2008-03-01",-3.15084838867188
"PSSB","2008-03-01",-3.19168090820312
"PSFB","2008-03-01",-3.19168090820312
"SYSE","2008-03-01",-3.5361328125
"SYSW","2008-03-01",-3.5361328125
"SYLM","2008-03-01",-3.5361328125
"JBAB","2008-03-01",-3.44723510742188
"NRBW","2008-03-01",-3.6405029296875
"MEBB","2008-03-01",-3.6405029296875
"MEKB","2008-03-01",-3.6405029296875
"MEPA","2008-03-01",-3.6405029296875
"SWAIN","2008-03-01",-2.24203491210938
"OTIS","2008-04-01",-2.41937255859375
"CHSWRR","2008-04-01",-4.14181518554688
"CHSWRG","2008-04-01",-4.14181518554688
"PSSB","2008-04-01",-4.26638793945312
"PSFB","2008-04-01",-4.26638793945312
"SYSE","2008-04-01",-4.5108642578125
"SYSW","2008-04-01",-4.5108642578125
"SYLM","2008-04-01",-4.5108642578125
"JBAB","2008-04-01",-4.40811157226562
"NRBW","2008-04-01",-4.6104736328125
"MEBB","2008-04-01",-4.6104736328125
"MEKB","2008-04-01",-4.6104736328125
"MEPA","2008-04-01",-4.6104736328125
"SWAIN","2008-04-01",-3.20660400390625
"OTIS","2008-05-01",-3.13668823242188
"CHSWRR","2008-05-01",-4.98361206054688
"CHSWRG","2008-05-01",-4.98361206054688
"PSSB","2008-05-01",-5.077880859375
"PSFB","2008-05-01",-5.077880859375
"SYSE","2008-05-01",-5.22213745117188
"SYSW","2008-05-01",-5.22213745117188
"SYLM","2008-05-01",-5.22213745117188
"JBAB","2008-05-01",-5.18975830078125
"NRBW","2008-05-01",-5.34774780273438
"MEBB","2008-05-01",-5.34774780273438
"MEKB","2008-05-01",-5.34774780273438
"MEPA","2008-05-01",-5.34774780273438
"SWAIN","2008-05-01",-3.91647338867188
"OTIS","2008-06-01",-3.4599609375
"CHSWRR","2008-06-01",-4.95657348632812
"CHSWRG","2008-06-01",-4.95657348632812
"PSSB","2008-06-01",-4.78988647460938
"PSFB","2008-06-01",-4.78988647460938
"SYSE","2008-06-01",-4.92984008789062
"SYSW","2008-06-01",-4.92984008789062
"SYLM","2008-06-01",-4.92984008789062
"JBAB","2008-06-01",-5.1214599609375
"NRBW","2008-06-01",-5.20468139648438
"MEBB","2008-06-01",-5.20468139648438
"MEKB","2008-06-01",-5.20468139648438
"MEPA","2008-06-01",-5.20468139648438
"SWAIN","2008-06-01",-4.17059326171875
"OTIS","2008-07-01",-3.03756713867188
"CHSWRR","2008-07-01",-4.40728759765625
"CHSWRG","2008-07-01",-4.40728759765625
"PSSB","2008-07-01",-3.847900390625
"PSFB","2008-07-01",-3.847900390625
"SYSE","2008-07-01",-4.02456665039062
"SYSW","2008-07-01",-4.02456665039062
"SYLM","2008-07-01",-4.02456665039062
"JBAB","2008-07-01",-4.09756469726562
"NRBW","2008-07-01",-3.99493408203125
"MEBB","2008-07-01",-3.99493408203125
"MEKB","2008-07-01",-3.99493408203125
"MEPA","2008-07-01",-3.99493408203125
"SWAIN","2008-07-01",-3.48196411132812
"OTIS","2008-08-01",-2.19161987304688
"CHSWRR","2008-08-01",-2.54742431640625
"CHSWRG","2008-08-01",-2.54742431640625
"PSSB","2008-08-01",-2.5325927734375
"PSFB","2008-08-01",-2.5325927734375
"SYSE","2008-08-01",-2.87078857421875
"SYSW","2008-08-01",-2.87078857421875
"SYLM","2008-08-01",-2.87078857421875
"JBAB","2008-08-01",-2.85986328125
"NRBW","2008-08-01",-2.50076293945312
"MEBB","2008-08-01",-2.50076293945312
"MEKB","2008-08-01",-2.50076293945312
"MEPA","2008-08-01",-2.50076293945312
"SWAIN","2008-08-01",-2.25601196289062
"OTIS","2008-09-01",-0.95501708984375
"CHSWRR","2008-09-01",-1.15548706054688
"CHSWRG","2008-09-01",-1.15548706054688
"PSSB","2008-09-01",-1.60845947265625
"PSFB","2008-09-01",-1.60845947265625
"SYSE","2008-09-01",-1.8350830078125
"SYSW","2008-09-01",-1.8350830078125
"SYLM","2008-09-01",-1.8350830078125
"JBAB","2008-09-01",-2.07186889648438
"NRBW","2008-09-01",-1.76272583007812
"MEBB","2008-09-01",-1.76272583007812
"MEKB","2008-09-01",-1.76272583007812
"MEPA","2008-09-01",-1.76272583007812
"SWAIN","2008-09-01",-0.826141357421875
"OTIS","2008-10-01",0.337310791015625
"CHSWRR","2008-10-01",0.18255615234375
"CHSWRG","2008-10-01",0.18255615234375
"PSSB","2008-10-01",-0.0191650390625
"PSFB","2008-10-01",-0.0191650390625
"SYSE","2008-10-01",-0.03863525390625
"SYSW","2008-10-01",-0.03863525390625
